entry,type,group,partition
Q8T045,ER,3,4
Q8NBL1,ER,3,4
Q8BYB9,ER,3,4
O04373,ER,8,4
P54970,ER,8,4
P54969,ER,8,4
P38660,ER,30,4
Q922R8,ER,30,4
Q63081,ER,30,4
Q15084,ER,30,4
Q14554,ER,30,4
Q921X9,ER,30,4
P50454,ER,31,4
Q12404,ER,42,4
Q3TNH5,ER,53,4
Q8WUF8,ER,53,4
Q63010,ER,62,4
Q64573,ER,62,4
Q91WU0,ER,62,4
Q6P5E4,ER,66,4
Q9JLA3,ER,66,4
Q9NYU2,ER,66,4
Q9NYU1,ER,66,4
Q7JXF7,ER,70,4
Q9Y2B0,ER,70,4
A4FUC0,Mitochondrion,2,0
C0HK54,Mitochondrion,6,0
Q6C877,Mitochondrion,6,0
Q12165,Mitochondrion,6,0
P05630,Mitochondrion,6,0
P35434,Mitochondrion,6,0
P30049,Mitochondrion,6,0
Q09544,Mitochondrion,6,0
Q96252,Mitochondrion,6,0
Q40089,Mitochondrion,6,0
D3ZUM2,Mitochondrion,9,0
Q6PDS3,Mitochondrion,9,0
Q6SZW1,Mitochondrion,9,0
O00142,Mitochondrion,15,0
O00217,Mitochondrion,16,0
P42028,Mitochondrion,16,0
P80269,Mitochondrion,16,0
Q9DC70,Mitochondrion,16,0
O13525,Mitochondrion,19,0
Q8BGB8,Mitochondrion,19,0
O14561,Mitochondrion,20,0
P52505,Mitochondrion,20,0
P11943,Mitochondrion,20,0
O80800,Mitochondrion,20,0
P53665,Mitochondrion,20,0
Q9FGJ4,Mitochondrion,20,0
Q95108,Mitochondrion,20,0
O15382,Mitochondrion,21,0
O35855,Mitochondrion,21,0
O35854,Mitochondrion,21,0
O60313,Mitochondrion,29,0
P58281,Mitochondrion,29,0
Q2TA68,Mitochondrion,29,0
O75394,Mitochondrion,33,0
Q3SZ47,Mitochondrion,33,0
Q9CQP0,Mitochondrion,33,0
P01097,Mitochondrion,33,0
O75489,Mitochondrion,35,0
P23709,Mitochondrion,35,0
P00258,Mitochondrion,53,0
P12075,Mitochondrion,63,0
P19536,Mitochondrion,63,0
Q9SSB8,Mitochondrion,63,0
P04037,Mitochondrion,63,0
Q9M9M6,Mitochondrion,63,0
Q86SX6,Mitochondrion,63,0
P16221,Mitochondrion,81,0
P05166,Mitochondrion,88,0
Q9HCC0,Mitochondrion,88,0
P07257,Mitochondrion,98,0
P07470,Mitochondrion,99,0
P24310,Mitochondrion,99,0
P13184,Mitochondrion,99,0
P24311,Mitochondrion,99,0
P08417,Mitochondrion,107,0
P93033,Mitochondrion,107,0
P08503,Mitochondrion,109,0
P45952,Mitochondrion,109,0
P11310,Mitochondrion,109,0
P41367,Mitochondrion,109,0
P15651,Mitochondrion,109,0
Q07417,Mitochondrion,109,0
P16219,Mitochondrion,109,0
Q3ZBF6,Mitochondrion,109,0
P45954,Mitochondrion,109,0
P12007,Mitochondrion,109,0
Q9JHI5,Mitochondrion,109,0
P26440,Mitochondrion,109,0
P70584,Mitochondrion,109,0
Q9DBL1,Mitochondrion,109,0
P28330,Mitochondrion,109,0
P15650,Mitochondrion,109,0
P51174,Mitochondrion,109,0
P09001,Mitochondrion,113,0
Q3ZBX6,Mitochondrion,113,0
Q99N95,Mitochondrion,113,0
P31334,Mitochondrion,113,0
P09380,Mitochondrion,114,0
P09381,Mitochondrion,114,0
P28042,Mitochondrion,114,0
Q04837,Mitochondrion,114,0
Q9CYR0,Mitochondrion,114,0
P54622,Mitochondrion,114,0
P09605,Mitochondrion,117,0
P17540,Mitochondrion,117,0
P11009,Mitochondrion,117,0
P70079,Mitochondrion,117,0
P25809,Mitochondrion,117,0
P0C2C1,Mitochondrion,123,0
P11177,Mitochondrion,147,0
P49432,Mitochondrion,147,0
P11966,Mitochondrion,147,0
P26269,Mitochondrion,147,0
Q38799,Mitochondrion,147,0
P32473,Mitochondrion,147,0
P21953,Mitochondrion,147,0
P12687,Mitochondrion,165,0
P13183,Mitochondrion,171,0
Q9C5E8,Mitochondrion,171,0
P13995,Mitochondrion,177,0
P18155,Mitochondrion,177,0
P14063,Mitochondrion,178,0
P17764,Mitochondrion,206,0
Q8QZT1,Mitochondrion,206,0
P24752,Mitochondrion,206,0
P55084,Mitochondrion,206,0
P21954,Mitochondrion,226,0
P54071,Mitochondrion,226,0
Q04467,Mitochondrion,226,0
P56574,Mitochondrion,226,0
P48735,Mitochondrion,226,0
P23589,Mitochondrion,238,0
P43165,Mitochondrion,238,0
P35218,Mitochondrion,238,0
P24919,Mitochondrion,247,0
P25284,Mitochondrion,249,0
Q9SK66,Mitochondrion,249,0
P25605,Mitochondrion,253,0
P31937,Mitochondrion,292,0
P32904,Mitochondrion,302,0
P36516,Mitochondrion,314,0
P36525,Mitochondrion,320,0
P36552,Mitochondrion,326,0
Q3B7D0,Mitochondrion,326,0
P38447,Mitochondrion,333,0
P42675,Mitochondrion,351,0
Q9BYT8,Mitochondrion,351,0
Q91YP2,Mitochondrion,351,0
P42676,Mitochondrion,351,0
P42847,Mitochondrion,354,0
P51998,Mitochondrion,383,0
P54967,Mitochondrion,397,0
P82928,Mitochondrion,424,0
P87355,Mitochondrion,432,0
Q9WV84,Mitochondrion,432,0
P92507,Mitochondrion,434,0
Q00972,Mitochondrion,444,0
Q15118,Mitochondrion,444,0
Q02204,Mitochondrion,448,0
Q04728,Mitochondrion,461,0
Q13268,Mitochondrion,482,0
Q39243,Mitochondrion,505,0
Q3SZ86,Mitochondrion,510,0
Q9EPJ3,Mitochondrion,510,0
Q6C2V6,Mitochondrion,553,0
Q6UPE0,Mitochondrion,571,0
Q8GYB1,Mitochondrion,594,0
Q94B59,Mitochondrion,634,0
Q96CB9,Mitochondrion,639,0
Q9CQF4,Mitochondrion,675,0
Q9FUT3,Mitochondrion,702,0
Q9JI39,Mitochondrion,702,0
Q9NRK6,Mitochondrion,702,0
Q9FX93,Mitochondrion,703,0
Q9LRP6,Mitochondrion,722,0
Q9M8M3,Mitochondrion,732,0
Q9SJ12,Mitochondrion,753,0
Q9SZE1,Mitochondrion,763,0
Q9ZU67,Mitochondrion,788,0
A1XBS5,Mitochondrion,0,1
Q8BP22,Mitochondrion,0,1
F1LU71,Mitochondrion,10,1
Q9JLZ3,Mitochondrion,10,1
Q13825,Mitochondrion,10,1
P14604,Mitochondrion,10,1
P30084,Mitochondrion,10,1
P13804,Mitochondrion,10,1
F1QG30,Mitochondrion,11,1
F4IAT8,Mitochondrion,13,1
P0DKB9,Mitochondrion,13,1
P0DKB7,Mitochondrion,13,1
P0DKB8,Mitochondrion,13,1
F4IAW1,Mitochondrion,13,1
O02649,Mitochondrion,17,1
Q5ZL72,Mitochondrion,17,1
P63038,Mitochondrion,17,1
P10809,Mitochondrion,17,1
P31081,Mitochondrion,17,1
P25420,Mitochondrion,17,1
P29197,Mitochondrion,17,1
P29185,Mitochondrion,17,1
Q93ZM7,Mitochondrion,17,1
O04862,Mitochondrion,18,1
O19069,Mitochondrion,22,1
Q9WUM5,Mitochondrion,22,1
Q6ZL94,Mitochondrion,22,1
Q6DQL1,Mitochondrion,22,1
Q8GTQ9,Mitochondrion,22,1
Q8LAD2,Mitochondrion,22,1
P68209,Mitochondrion,22,1
P53598,Mitochondrion,22,1
O75600,Mitochondrion,36,1
O88986,Mitochondrion,36,1
Q0P5L8,Mitochondrion,36,1
P00348,Mitochondrion,55,1
Q16836,Mitochondrion,55,1
Q61425,Mitochondrion,55,1
P00423,Mitochondrion,58,1
P10888,Mitochondrion,58,1
P13073,Mitochondrion,58,1
P80971,Mitochondrion,58,1
P00424,Mitochondrion,59,1
P00425,Mitochondrion,59,1
P00505,Mitochondrion,69,1
P00507,Mitochondrion,69,1
P12345,Mitochondrion,69,1
P00506,Mitochondrion,69,1
P12344,Mitochondrion,69,1
P00508,Mitochondrion,69,1
P00829,Mitochondrion,73,1
P56480,Mitochondrion,73,1
P06576,Mitochondrion,73,1
P10719,Mitochondrion,73,1
Q5ZLC5,Mitochondrion,73,1
Q01859,Mitochondrion,73,1
P17614,Mitochondrion,73,1
P83484,Mitochondrion,73,1
P83483,Mitochondrion,73,1
Q9C5A9,Mitochondrion,73,1
P22068,Mitochondrion,73,1
Q6CFT7,Mitochondrion,73,1
P05631,Mitochondrion,91,1
Q6C338,Mitochondrion,91,1
P38077,Mitochondrion,91,1
P26360,Mitochondrion,91,1
P07997,Mitochondrion,103,1
P13196,Mitochondrion,103,1
Q8VC19,Mitochondrion,103,1
P08680,Mitochondrion,103,1
Q63147,Mitochondrion,103,1
P22557,Mitochondrion,103,1
P08461,Mitochondrion,108,1
Q5M729,Mitochondrion,108,1
Q8RWN9,Mitochondrion,108,1
P12695,Mitochondrion,108,1
P0DPI2,Mitochondrion,132,1
Q9D172,Mitochondrion,132,1
P10355,Mitochondrion,136,1
P12694,Mitochondrion,166,1
Q3E870,Mitochondrion,172,1
P13621,Mitochondrion,175,1
Q2EN81,Mitochondrion,175,1
P48047,Mitochondrion,175,1
P22778,Mitochondrion,175,1
Q6C9B1,Mitochondrion,175,1
Q96251,Mitochondrion,175,1
P53163,Mitochondrion,175,1
P14066,Mitochondrion,179,1
P14519,Mitochondrion,182,1
P34897,Mitochondrion,182,1
Q9CZN7,Mitochondrion,182,1
Q9SZJ5,Mitochondrion,182,1
P19414,Mitochondrion,211,1
P19955,Mitochondrion,214,1
P22354,Mitochondrion,232,1
P23368,Mitochondrion,237,1
Q99KE1,Mitochondrion,237,1
P25348,Mitochondrion,251,1
Q9N2I8,Mitochondrion,284,1
P32898,Mitochondrion,301,1
P35571,Mitochondrion,310,1
P36046,Mitochondrion,313,1
P36523,Mitochondrion,319,1
P36526,Mitochondrion,321,1
Q5BJX1,Mitochondrion,321,1
P37298,Mitochondrion,330,1
P41735,Mitochondrion,346,1
P97478,Mitochondrion,346,1
Q99807,Mitochondrion,346,1
P48376,Mitochondrion,346,1
P42844,Mitochondrion,353,1
P49411,Mitochondrion,372,1
P85834,Mitochondrion,372,1
P51557,Mitochondrion,380,1
P51687,Mitochondrion,382,1
Q8R086,Mitochondrion,382,1
Q07116,Mitochondrion,382,1
P54898,Mitochondrion,396,1
Q01992,Mitochondrion,447,1
Q02776,Mitochondrion,455,1
Q874C1,Mitochondrion,455,1
Q04401,Mitochondrion,459,1
Q07511,Mitochondrion,467,1
Q9SXP2,Mitochondrion,467,1
Q08968,Mitochondrion,471,1
Q14CH7,Mitochondrion,485,1
Q5JTZ9,Mitochondrion,485,1
Q5A8K2,Mitochondrion,485,1
Q16698,Mitochondrion,487,1
Q64591,Mitochondrion,487,1
Q39055,Mitochondrion,504,1
Q3T0J3,Mitochondrion,512,1
Q99N93,Mitochondrion,512,1
Q5XF59,Mitochondrion,536,1
Q8RXN4,Mitochondrion,536,1
Q9T0K7,Mitochondrion,536,1
Q94AL9,Mitochondrion,548,1
Q6DHI5,Mitochondrion,561,1
Q8K2C6,Mitochondrion,561,1
Q9NXA8,Mitochondrion,561,1
Q8R216,Mitochondrion,561,1
Q94AQ6,Mitochondrion,561,1
Q6UB28,Mitochondrion,569,1
Q8GZA6,Mitochondrion,595,1
Q8VYR5,Mitochondrion,619,1
Q99757,Mitochondrion,635,1
Q96E29,Mitochondrion,640,1
Q96KR6,Mitochondrion,644,1
Q9D8B6,Mitochondrion,644,1
Q9BPX6,Mitochondrion,663,1
Q9FME4,Mitochondrion,699,1
Q9LEV3,Mitochondrion,719,1
Q9LUW5,Mitochondrion,723,1
Q9LUW6,Mitochondrion,723,1
Q9M3A8,Mitochondrion,728,1
Q9R0X4,Mitochondrion,752,1
Q9SX99,Mitochondrion,761,1
Q9ZQE5,Mitochondrion,787,1
A3C6G9,Mitochondrion,1,2
Q9LQL0,Mitochondrion,1,2
P25855,Mitochondrion,1,2
P20821,Mitochondrion,1,2
P11183,Mitochondrion,1,2
P42116,Mitochondrion,1,2
A8NN94,Mitochondrion,4,2
Q9BQ48,Mitochondrion,4,2
Q99N91,Mitochondrion,4,2
Q9H4I9,Mitochondrion,4,2
B2GV06,Mitochondrion,5,2
P55809,Mitochondrion,5,2
Q29551,Mitochondrion,5,2
C8V9Y5,Mitochondrion,7,2
F4I7I0,Mitochondrion,12,2
Q9LDV4,Mitochondrion,12,2
O82662,Mitochondrion,42,2
Q84LB6,Mitochondrion,42,2
Q6K9N6,Mitochondrion,42,2
Q9P2R7,Mitochondrion,42,2
Q9Z2I9,Mitochondrion,42,2
Q9Z2I8,Mitochondrion,42,2
Q96I99,Mitochondrion,42,2
P53312,Mitochondrion,42,2
O95178,Mitochondrion,45,2
Q02374,Mitochondrion,45,2
P01096,Mitochondrion,45,2
P13182,Mitochondrion,45,2
P43023,Mitochondrion,45,2
P07471,Mitochondrion,45,2
P00428,Mitochondrion,45,2
P56393,Mitochondrion,45,2
P80431,Mitochondrion,45,2
P21571,Mitochondrion,45,2
Q710D6,Mitochondrion,45,2
O95571,Mitochondrion,47,2
Q9DCM0,Mitochondrion,47,2
Q9C8L4,Mitochondrion,47,2
P00175,Mitochondrion,51,2
P00426,Mitochondrion,61,2
P11240,Mitochondrion,61,2
P12787,Mitochondrion,61,2
P20674,Mitochondrion,61,2
P55954,Mitochondrion,61,2
P00427,Mitochondrion,61,2
P10606,Mitochondrion,61,2
P00447,Mitochondrion,66,2
P11796,Mitochondrion,66,2
P04179,Mitochondrion,66,2
Q9UQX0,Mitochondrion,66,2
P00889,Mitochondrion,75,2
